"TimeMarker","Id","VelocityX","VelocityY","VelocityZ","PlatformAzimuth","RollAngle","PitchAngle","PresentTrueHeading","PresentMagneticHeading","GreatCircleSteeringError","ComputedCourseDeviation","TimeToSteerpoint","DistanceToSteerpoint","RelativeBearingToSteerpoint","RelativeBearingToNthWaypoint_Markpoint","TimeToNthWaypoint_Markpoint","DistanceToNthWaypoint_Markpoint","MagneticHeadingToNthWaypoint_Markpoint","TrueAirSpeed","PresentMagneticGroundTrack","PresentDriftAngle"
2025-08-01 07:30:31,338394349596,-286.585327148438,657.424621582031,-0.033233642578125,1.38226318359375,1.94342041015625,0.004913330078125,0.476837158203125,0.14404296875,0.79571533203125,0.9266357421875,24107,28454,0.78253173828125,0.78253173828125,24107,28454,0.9266357421875,424.875,0.130889892578125,1.98687744140625
2025-08-01 07:30:31,339602309148,-286.809509277344,657.319885253906,-0.0145339965820313,1.382080078125,1.94390869140625,0.00433349609375,0.47650146484375,0.45465087890625,0.79595947265625,1.237548828125,24108,28454,0.782806396484375,0.782806396484375,24108,28454,1.237548828125,424.875,0.44158935546875,1.9869384765625
2025-08-01 07:30:31,339698778140,-287.105590820313,657.224609375,-0.0254936218261719,1.38201904296875,1.94338989257813,0.004913330078125,0.4765625,0.143768310546875,0.79595947265625,0.9266357421875,24107,28454,0.782806396484375,0.78277587890625,24107,28454,0.9266357421875,424.875,0.130645751953125,1.98687744140625
2025-08-01 07:30:31,341175173148,-287.348693847656,657.099426269531,0.0173072814941406,1.3818359375,1.94387817382813,0.004302978515625,0.47625732421875,0.45440673828125,0.79620361328125,1.237548828125,24108,28454,0.7830810546875,0.783050537109375,24108,28454,1.237548828125,424.875,0.44134521484375,1.98696899414063
2025-08-01 07:30:31,341271642140,-287.645690917969,657.012756347656,-0.0355186462402344,1.38174438476563,1.943359375,0.004913330078125,0.476318359375,0.143524169921875,0.79620361328125,0.9266357421875,24107,28454,0.783050537109375,0.783050537109375,24107,28454,0.9266357421875,425,0.13043212890625,1.98687744140625
2025-08-01 07:30:31,342479601692,-287.849914550781,656.919372558594,0.040435791015625,1.38156127929688,1.94384765625,0.00433349609375,0.475982666015625,0.454132080078125,0.796478271484375,1.237548828125,24108,28454,0.7833251953125,0.7833251953125,24108,28454,1.237548828125,424.875,0.44110107421875,1.98696899414063
2025-08-01 07:30:31,342576070684,-288.151397705078,656.825439453125,-0.0547523498535156,1.38150024414063,1.943359375,0.004913330078125,0.47607421875,0.14324951171875,0.796478271484375,0.9266357421875,24107,28454,0.783294677734375,0.783294677734375,24107,28454,0.9266357421875,425,0.130157470703125,1.98690795898438
2025-08-01 07:30:31,343872110620,-288.350799560547,656.704040527344,-0.013214111328125,1.38131713867188,1.94384765625,0.004302978515625,0.475738525390625,0.453887939453125,0.79669189453125,1.23757934570313,24108,28454,0.783599853515625,0.7835693359375,24108,28454,1.237548828125,425,0.44085693359375,1.98696899414063
2025-08-01 07:30:31,343968579612,-288.662811279297,656.593383789063,-0.0176429748535156,1.3812255859375,1.94332885742188,0.004913330078125,0.475799560546875,0.14300537109375,0.79669189453125,0.9266357421875,24107,28454,0.7835693359375,0.7835693359375,24107,28454,0.9266357421875,425,0.129913330078125,1.98690795898438
2025-08-01 07:30:31,345080070172,-288.888793945313,656.484252929688,0.0101318359375,1.38104248046875,1.94381713867188,0.004302978515625,0.4754638671875,0.45361328125,0.796966552734375,1.23757934570313,24108,28454,0.783843994140625,0.783843994140625,24108,28454,1.237548828125,425,0.44061279296875,1.98699951171875
